POS,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w,Year ,,,,,,,,,,,
63,Jason Holder,4,4,13,103,2,51.5,7.92,39,0,0,2016,,,,,,,,,,,
64,Jayant Yadav,5,5,17,125,2,62.5,7.35,51,0,0,2016,,,,,,,,,,,
65,John Hastings,2,2,6,37,2,18.5,5.55,20,0,0,2016,,,,,,,,,,,
66,Varun Aaron,8,8,23,227,2,113.5,9.59,71,0,0,2016,,,,,,,,,,,
67,JP Duminy,10,5,7,55,2,27.5,7.85,21,0,0,2016,,,,,,,,,,,
68,Shahbaz Nadeem,4,4,15,127,2,63.5,8.46,45,0,0,2016,,,,,,,,,,,
69,Shadab Jakati,6,6,20,178,2,89,8.9,60,0,0,2016,,,,,,,,,,,
70,Sachin Baby,11,2,1,8,2,4,4.8,5,0,0,2016,,,,,,,,,,,
71,Kyle Abbott,5,5,16,177,2,88.5,11.06,48,0,0,2016,,,,,,,,,,,
72,Rishi Dhawan,2,2,7,56,2,28,8,21,0,0,2016,,,,,,,,,,,
73,Mitchell Johnson,3,3,11,106,2,53,9.63,33,0,0,2016,,,,,,,,,,,
74,Gurkeerat Mann Singh,7,3,4,31,2,15.5,7.75,12,0,0,2016,,,,,,,,,,,
75,Chris Gayle,10,4,10,63,2,31.5,6.3,30,0,0,2016,,,,,,,,,,,
76,Albie Morkel,2,2,5,66,2,33,13.2,15,0,0,2016,,,,,,,,,,,
77,Yusuf Pathan,15,4,6,33,1,33,5.5,36,0,0,2016,,,,,,,,,,,
78,Trent Boult,1,1,4,39,1,39,9.75,24,0,0,2016,,,,,,,,,,,
79,Adam Milne,1,1,4,43,1,43,10.75,24,0,0,2016,,,,,,,,,,,
80,Ankit Sharma,3,3,11,84,1,84,7.63,66,0,0,2016,,,,,,,,,,,
81,Stuart Binny,14,11,17,134,1,134,7.88,102,0,0,2016,,,,,,,,,,,
82,Ashish Reddy,4,2,4,39,1,39,10.17,23,0,0,2016,,,,,,,,,,,
83,Rajagopal Sathish,4,3,6,59,1,59,9.83,36,0,0,2016,,,,,,,,,,,
84,Pawan Negi,8,5,9,84,1,84,9.33,54,0,0,2016,,,,,,,,,,,
85,Parveez Rasool,4,4,14,129,1,129,9.21,84,0,0,2016,,,,,,,,,,,
86,Harshal Patel,5,5,14,147,1,147,10.5,84,0,1,2016,,,,,,,,,,,1
1,Bhuvneshwar Kumar,14,14,52,369,26,14.19,7.05,12.07,0,1,2017,,,,,,,,,,,
2,Jaydev Unadkat,12,12,46,322,24,13.41,7.02,11.45,0,1,2017,,,,,,,,,,,
