POS,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w,Year ,,,,,,,,,,,
17,Ishant Sharma,13,13,46,349,13,26.84,7.58,21.23,0,0,2019,,,,,,,,,,,
18,Bhuvneshwar Kumar,15,15,59,461,13,35.46,7.81,27.23,0,0,2019,,,,,,,,,,,
19,Krunal Pandya,16,16,46,335,12,27.91,7.28,23,0,0,2019,,,,,,,,,,,
20,Sandeep Sharma,11,11,42,352,12,29.33,8.25,21.33,0,0,2019,,,,,,,,,,,
21,Dwayne Bravo,12,12,41,330,11,30,8.01,22.45,0,0,2019,,,,,,,,,,,
22,Amit Mishra,11,11,40,270,11,24.54,6.75,21.81,0,0,2019,,,,,,,,,,,
23,Andre Russell,14,12,30,287,11,26.09,9.51,16.45,0,0,2019,,,,,,,,,,,
24,Navdeep Saini,13,13,48,397,11,36.09,8.27,26.18,0,0,2019,,,,,,,,,,,
25,Jofra Archer,11,11,43,291,11,26.45,6.76,23.45,0,0,2019,,,,,,,,,,,
26,Sam Curran,9,9,33,323,10,32.3,9.78,19.8,1,0,2019,,,,,,,,,,,
27,Axar Patel,14,14,51,364,10,36.4,7.13,30.6,0,0,2019,,,,,,,,,,,
28,Piyush Chawla,13,13,44,399,10,39.9,8.96,26.7,0,0,2019,,,,,,,,,,,
29,Sunil Narine,12,12,44,347,10,34.7,7.82,26.6,0,0,2019,,,,,,,,,,,
30,Jaydev Unadkat,11,11,37,398,10,39.8,10.66,22.4,0,0,2019,,,,,,,,,,,
31,Keemo Paul,8,8,27,237,9,26.33,8.72,18.11,0,0,2019,,,,,,,,,,,
32,Shardul Thakur,10,9,30,281,8,35.12,9.36,22.5,0,0,2019,,,,,,,,,,,
33,Mohammad Nabi,8,8,29,194,8,24.25,6.65,21.87,1,0,2019,,,,,,,,,,,
34,Umesh Yadav,11,11,38,371,8,46.37,9.8,28.37,0,0,2019,,,,,,,,,,,
35,Sandeep Lamichhane,6,6,23,210,8,26.25,9.13,17.25,0,0,2019,,,,,,,,,,,
36,Mohammed Siraj,9,9,28,269,7,38.42,9.55,24.14,0,0,2019,,,,,,,,,,,
37,Harry Gurney,8,8,27,238,7,34,8.81,23.14,0,0,2019,,,,,,,,,,,
38,Hardus Viljoen,6,6,23,222,7,31.71,9.65,19.71,0,0,2019,,,,,,,,,,,
39,Siddarth Kaul,7,7,27,242,6,40.33,8.96,27,0,0,2019,,,,,,,,,,,
40,Moeen Ali,11,9,25,169,6,28.16,6.76,25,0,0,2019,,,,,,,,,,,
41,Alzarri Joseph,3,3,8,87,6,14.5,10.03,8.66,0,1,2019,,,,,,,,,,,
42,Dhawal Kulkarni,10,10,35,335,6,55.83,9.57,35,0,0,2019,,,,,,,,,,,
43,Ben Stokes,9,6,17,189,6,31.5,11.22,16.83,0,0,2019,,,,,,,,,,,
44,Jason Behrendorff,5,5,19,165,5,33,8.68,22.8,0,0,2019,,,,,,,,,,,
45,Trent Boult,5,5,19,163,5,32.6,8.57,22.8,0,0,2019,,,,,,,,,,,
46,Oshane Thomas,4,4,10,79,5,15.8,7.9,12,0,0,2019,,,,,,,,,,,
47,Murugan Ashwin,10,10,34,255,5,51,7.5,40.8,0,0,2019,,,,,,,,,,,
48,Washington Sundar,3,3,9,74,4,18.5,8.22,13.5,0,0,2019,,,,,,,,,,,
49,Dale Steyn,2,2,8,69,4,17.25,8.62,12,0,0,2019,,,,,,,,,,,
50,Ish Sodhi,2,2,7,67,4,16.75,9.34,10.75,0,0,2019,,,,,,,,,,,
51,Prasidh Krishna,11,11,40,377,4,94.25,9.34,60.5,0,0,2019,,,,,,,,,,,
52,Kuldeep Yadav,9,9,33,286,4,71.5,8.66,49.5,0,0,2019,,,,,,,,,,,
53,Mitchell Santner,4,4,14,94,4,23.5,6.71,21,0,0,2019,,,,,,,,,,,
54,Varun Aaron,5,5,12,116,4,29,9.66,18,0,0,2019,,,,,,,,,,,
55,Mujeeb Ur Rahman,5,5,19,191,3,63.66,10.05,38,0,0,2019,,,,,,,,,,,
56,Arshdeep Singh,3,3,10,109,3,36.33,10.9,20,0,0,2019,,,,,,,,,,,
57,Nitish Rana,14,6,8,72,3,24,9,16,0,0,2019,,,,,,,,,,,
58,Ankit Rajpoot,4,4,16,152,3,50.66,9.5,32,0,0,2019,,,,,,,,,,,
59,Pawan Negi,7,4,11,102,3,34,9.13,22.33,0,0,2019,,,,,,,,,,,
60,Andrew Tye,6,6,22,233,3,77.66,10.59,44,0,0,2019,,,,,,,,,,,
61,Mitchell McClenaghan,5,5,18,142,3,47.33,7.88,36,0,0,2019,,,,,,,,,,,
62,Shakib Al Hasan,3,3,11,95,2,47.5,8.76,32.5,0,0,2019,,,,,,,,,,,
63,Shahbaz Nadeem,3,3,9,90,2,45,10,27,0,0,2019,,,,,,,,,,,
64,Scott Kuggeleijn,2,2,8,71,2,35.5,8.87,24,0,0,2019,,,,,,,,,,,
65,Sandeep Warrier,3,3,12,85,2,42.5,7.08,36,0,0,2019,,,,,,,,,,,
66,Marcus Stoinis,10,6,16,145,2,72.5,8.7,50,0,0,2019,,,,,,,,,,,
67,Riyan Parag,7,7,14,121,2,60.5,8.64,42,0,0,2019,,,,,,,,,,,
68,Harshal Patel,2,2,8,77,2,38.5,9.62,24,0,0,2019,,,,,,,,,,,
69,Rahul Tewatia,5,3,6,42,2,21,6.63,19,0,0,2019,,,,,,,,,,,
70,Jagadeesha Suchith,1,1,4,28,2,14,7,12,0,0,2019,,,,,,,,,,,
71,Lockie Ferguson,5,5,17,183,2,91.5,10.76,51,0,0,2019,,,,,,,,,,,
72,Abhishek Sharma,3,2,2,21,1,21,10.5,12,0,0,2019,,,,,,,,,,,
73,Deepak Hooda,11,2,2,21,1,21,10.5,12,0,0,2019,,,,,,,,,,,
74,Vijay Shankar,15,5,8,70,1,70,8.75,48,0,0,2019,,,,,,,,,,,
75,Varun Chakaravarthy,1,1,3,35,1,35,11.66,18,0,0,2019,,,,,,,,,,,
76,Mayank Markande,3,3,6,59,1,59,9.83,36,0,0,2019,,,,,,,,,,,
77,Kulwant Khejroliya,2,2,5,47,1,47,9.4,30,0,0,2019,,,,,,,,,,,
78,Krishnappa Gowtham,7,7,20,166,1,166,8.3,120,0,0,2019,,,,,,,,,,,
79,Tim Southee,3,3,9,118,1,118,13.11,54,0,0,2019,,,,,,,,,,,
80,Karn Sharma,1,1,3,33,1,33,11.64,17,0,0,2019,,,,,,,,,,,
81,Stuart Binny,8,5,7,44,1,44,6.28,42,0,0,2019,,,,,,,,,,,
82,Anukul Roy,1,1,2,11,1,11,5.5,12,0,0,2019,,,,,,,,,,,
83,Mohit Sharma,1,1,3,27,1,27,9,18,0,0,2019,,,,,,,,,,,
84,Sherfane Rutherford,7,6,7,59,1,59,8.63,41,0,0,2019,,,,,,,,,,,
85,Ben Cutting,3,1,2,27,1,27,13.5,12,0,0,2019,,,,,,,,,,,
86,Jayant Yadav,2,2,7,50,1,50,7.14,42,0,0,2019,,,,,,,,,,,
87,Prithvi Raj Yarra,2,2,5,57,1,57,11.4,30,0,1,2019,,,,,,,,,,,
1,Kagiso Rabada,17,17,65,548,30,18.26,8.34,13.13,2,0,2020,,,,,,,,,,,
2,Jasprit Bumrah,15,15,60,404,27,14.96,6.73,13.33,2,0,2020,,,,,,,,,,,
3,Trent Boult,15,15,57,457,25,18.28,7.97,13.76,1,0,2020,,,,,,,,,,,
4,Anrich Nortje,16,16,61,512,22,23.27,8.39,16.63,0,0,2020,,,,,,,,,,,
5,Yuzvendra Chahal,15,15,57,405,21,19.28,7.08,16.33,0,0,2020,,,,,,,,,,,
6,Mohammad Shami,14,14,53,460,20,23,8.57,16.1,0,0,2020,,,,,,,,,,,
7,Jofra Archer,14,14,55,365,20,18.25,6.55,16.7,0,0,2020,,,,,,,,,,,
8,Rashid Khan,16,16,64,344,20,17.2,5.37,19.2,0,0,2020,,,,,,,,,,,
9,Varun Chakaravarthy,13,13,52,356,17,20.94,6.84,18.35,0,1,2020,,,,,,,,,,,
10,T Natarajan,16,16,63,504,16,31.5,8.02,23.56,0,0,2020,,,,,,,,,,,
11,Rahul Chahar,15,15,53,433,15,28.86,8.16,21.2,0,0,2020,,,,,,,,,,,
12,Jason Holder,7,7,28,233,14,16.64,8.32,12,0,0,2020,,,,,,,,,,,
13,Sandeep Sharma,13,13,52,374,14,26.71,7.19,22.28,0,0,2020,,,,,,,,,,,
14,Marcus Stoinis,17,13,29,283,13,21.76,9.53,13.69,0,0,2020,,,,,,,,,,,
15,Ravichandran Ashwin,15,15,51,391,13,30.07,7.66,23.53,0,0,2020,,,,,,,,,,,
16,Sam Curran,14,13,42,344,13,26.46,8.19,19.38,0,0,2020,,,,,,,,,,,
17,Pat Cummins,14,14,52,409,12,34.08,7.86,26,1,0,2020,,,,,,,,,,,
18,Ravi Bishnoi,14,14,51,376,12,31.33,7.37,25.5,0,0,2020,,,,,,,,,,,
19,Deepak Chahar,14,14,52,396,12,33,7.61,26,0,0,2020,,,,,,,,,,,
20,Mohammed Siraj,9,9,27,236,11,21.45,8.68,14.81,0,0,2020,,,,,,,,,,,
21,James Pattinson,10,10,35,320,11,29.09,9.01,19.36,0,0,2020,,,,,,,,,,,
22,Chris Morris,9,9,31,210,11,19.09,6.63,17.27,1,0,2020,,,,,,,,,,,
23,Shreyas Gopal,14,14,50,427,10,42.7,8.54,30,0,0,2020,,,,,,,,,,,
24,Murugan Ashwin,9,9,31,235,10,23.5,7.46,18.9,0,0,2020,,,,,,,,,,,
25,Shardul Thakur,9,9,32,275,10,27.5,8.5,19.4,0,0,2020,,,,,,,,,,,
26,Rahul Tewatia,14,14,46,326,10,32.6,7.08,27.6,0,0,2020,,,,,,,,,,,
27,Lungi Ngidi,4,4,16,167,9,18.55,10.43,10.66,0,0,2020,,,,,,,,,,,
28,Kartik Tyagi,10,10,38,367,9,40.77,9.61,25.44,0,0,2020,,,,,,,,,,,
29,Arshdeep Singh,8,8,25,218,9,24.22,8.77,16.55,0,0,2020,,,,,,,,,,,
30,Axar Patel,15,15,51,327,9,36.33,6.41,34,0,0,2020,,,,,,,,,,,
31,Shivam Mavi,8,8,26,212,9,23.55,8.15,17.33,0,0,2020,,,,,,,,,,,
32,Chris Jordan,9,9,31,304,9,33.77,9.65,21,0,0,2020,,,,,,,,,,,
33,Khaleel Ahmed,7,7,25,242,8,30.25,9.42,19.25,0,0,2020,,,,,,,,,,,
34,Isuru Udana,10,10,29,282,8,35.25,9.72,21.75,0,0,2020,,,,,,,,,,,
35,Washington Sundar,15,15,50,298,8,37.25,5.96,37.5,0,0,2020,,,,,,,,,,,
36,Piyush Chawla,7,7,21,191,6,31.83,9.09,21,0,0,2020,,,,,,,,,,,
37,Navdeep Saini,13,13,45,379,6,63.16,8.29,45.66,0,0,2020,,,,,,,,,,,
38,Sheldon Cottrell,6,6,20,176,6,29.33,8.8,20,0,0,2020,,,,,,,,,,,
39,Lockie Ferguson,5,5,20,148,6,24.66,7.46,19.83,0,0,2020,,,,,,,,,,,
40,Ravindra Jadeja,14,13,36,318,6,53,8.75,36.33,0,0,2020,,,,,,,,,,,
41,Krunal Pandya,16,16,50,380,6,63.33,7.57,50.16,0,0,2020,,,,,,,,,,,
42,Dwayne Bravo,6,6,21,180,6,30,8.57,21,0,0,2020,,,,,,,,,,,
43,Andre Russell,10,7,18,175,6,29.16,9.72,18,0,0,2020,,,,,,,,,,,
44,Shahbaz Nadeem,7,7,22,178,5,35.6,8.09,26.4,0,0,2020,,,,,,,,,,,
45,Nathan Coulter-Nile,7,7,26,206,5,41.2,7.92,31.2,0,0,2020,,,,,,,,,,,
46,Karn Sharma,5,5,19,165,5,33,8.68,22.8,0,0,2020,,,,,,,,,,,
47,Kamlesh Nagarkoti,10,9,26,231,5,46.2,8.88,31.2,0,0,2020,,,,,,,,,,,
48,Sunil Narine,10,10,38,302,5,60.4,7.94,45.6,0,0,2020,,,,,,,,,,,
49,Vijay Shankar,7,5,13,82,4,20.5,6.22,19.75,0,0,2020,,,,,,,,,,,
50,Shivam Dube,11,5,9,73,4,18.25,8.11,13.5,0,0,2020,,,,,,,,,,,
51,Kieron Pollard,16,11,21,190,4,47.5,9.04,31.5,0,0,2020,,,,,,,,,,,
52,Prasidh Krishna,6,6,17,164,4,41,9.37,26.25,0,0,2020,,,,,,,,,,,
53,Jaydev Unadkat,7,7,23,228,4,57,9.91,34.5,0,0,2020,,,,,,,,,,,
54,Bhuvneshwar Kumar,4,4,14,99,3,33,6.98,28.33,0,0,2020,,,,,,,,,,,
55,Glenn Maxwell,13,7,21,169,3,56.33,8.04,42,0,0,2020,,,,,,,,,,,
56,Harshal Patel,5,5,15,134,3,44.66,8.93,30,0,0,2020,,,,,,,,,,,
57,Tom Curran,5,5,18,208,3,69.33,11.44,36.33,0,0,2020,,,,,,,,,,,
58,Tushar Deshpande,5,5,17,192,3,64,11.29,34,0,0,2020,,,,,,,,,,,
59,Amit Mishra,3,3,10,72,3,24,7.2,20,0,0,2020,,,,,,,,,,,
60,Ankit Rajpoot,6,6,17,199,2,99.5,11.7,51,0,0,2020,,,,,,,,,,,
61,Siddarth Kaul,1,1,4,64,2,32,16,12,0,0,2020,,,,,,,,,,,
62,Ben Stokes,8,6,15,154,2,77,10.26,45,0,0,2020,,,,,,,,,,,
63,Adam Zampa,3,3,11,92,2,46,8.36,33,0,0,2020,,,,,,,,,,,
64,Abhishek Sharma,8,6,10,91,2,45.5,9.1,30,0,0,2020,,,,,,,,,,,
65,Shahbaz Ahmed,2,2,6,44,2,22,7.33,18,0,0,2020,,,,,,,,,,,
66,Jimmy Neesham,5,5,15,148,2,74,9.86,45,0,0,2020,,,,,,,,,,,
67,Mitchell Santner,2,2,7,53,2,26.5,7.57,21,0,0,2020,,,,,,,,,,,
68,Dale Steyn,3,3,11,133,1,133,11.4,70,0,0,2020,,,,,,,,,,,
69,Basil Thampi,1,1,4,46,1,46,11.5,24,0,0,2020,,,,,,,,,,,
70,Imran Tahir,3,3,11,76,1,76,6.9,66,0,0,2020,,,,,,,,,,,
71,Jayant Yadav,2,2,7,43,1,43,6.14,42,0,0,2020,,,,,,,,,,,
72,Andrew Tye,1,1,4,50,1,50,12.5,24,0,0,2020,,,,,,,,,,,
73,Josh Hazlewood,3,3,10,64,1,64,6.4,60,0,0,2020,,,,,,,,,,,
74,Mohit Sharma,1,1,4,45,1,45,11.25,24,0,0,2020,,,,,,,,,,,
75,Krishnappa Gowtham,2,2,8,84,1,84,10.5,48,0,0,2020,,,,,,,,,,,
76,Moeen Ali,3,3,5,42,1,42,8.4,30,0,0,2020,,,,,,,,,,,
77,Kuldeep Yadav,5,4,12,92,1,92,7.66,72,0,0,2020,,,,,,,,,,,
78,Abdul Samad,12,3,7,96,1,96,13.71,42,0,1,2020,,,,,,,,,,,
1,Harshal Patel,15,15,56,459,32,14.34,8.14,10.56,1,1,2021,,,,,,,,,,,
2,Avesh Khan,16,16,61,450,24,18.75,7.37,15.25,0,0,2021,,,,,,,,,,,
3,Jasprit Bumrah,14,14,55,410,21,19.52,7.45,15.71,0,0,2021,,,,,,,,,,,
4,Shardul Thakur,16,16,60,527,21,25.09,8.8,17.09,0,0,2021,,,,,,,,,,,
5,Mohammad Shami,14,14,52,395,19,20.78,7.5,16.63,0,0,2021,,,,,,,,,,,
6,Rashid Khan,14,14,56,375,18,20.83,6.69,18.66,0,0,2021,,,,,,,,,,,
7,Arshdeep Singh,12,12,41,342,18,19,8.27,13.77,0,1,2021,,,,,,,,,,,
8,Varun Chakaravarthy,17,17,68,448,18,24.88,6.58,22.66,0,0,2021,,,,,,,,,,,
9,Yuzvendra Chahal,15,15,53,374,18,20.77,7.05,17.66,0,0,2021,,,,,,,,,,,
10,Jason Holder,8,8,32,247,16,15.43,7.75,11.93,1,0,2021,,,,,,,,,,,
11,Sunil Narine,14,14,56,361,16,22.56,6.44,21,1,0,2021,,,,,,,,,,,
12,Chris Morris,11,11,41,376,15,25.06,9.17,16.4,1,0,2021,,,,,,,,,,,
13,Axar Patel,12,12,46,306,15,20.4,6.65,18.4,0,0,2021,,,,,,,,,,,
14,Kagiso Rabada,15,15,56,456,15,30.4,8.14,22.4,0,0,2021,,,,,,,,,,,
15,Chetan Sakariya,14,14,52,426,14,30.42,8.19,22.28,0,0,2021,,,,,,,,,,,
16,Deepak Chahar,15,15,54,451,14,32.21,8.35,23.14,2,0,2021,,,,,,,,,,,
17,Dwayne Bravo,11,11,33,263,14,18.78,7.81,14.42,0,0,2021,,,,,,,,,,,
18,Mustafizur Rahman,14,14,52,436,14,31.14,8.41,22.21,0,0,2021,,,,,,,,,,,
19,Ravindra Jadeja,16,16,49,346,13,26.61,7.06,22.61,0,0,2021,,,,,,,,,,,
20,Lockie Ferguson,8,8,30,224,13,17.23,7.46,13.84,0,0,2021,,,,,,,,,,,
21,Trent Boult,14,14,51,406,13,31.23,7.9,23.69,0,0,2021,,,,,,,,,,,
22,Rahul Chahar,11,11,43,318,13,24.46,7.39,19.84,1,0,2021,,,,,,,,,,,
23,Ravi Bishnoi,9,9,35,222,12,18.5,6.34,17.5,0,0,2021,,,,,,,,,,,
24,Anrich Nortje,8,8,30,187,12,15.58,6.16,15.16,0,0,2021,,,,,,,,,,,
25,Prasidh Krishna,10,10,38,351,12,29.25,9.11,19.25,0,0,2021,,,,,,,,,,,
26,Shivam Mavi,9,9,32,233,11,21.18,7.24,17.54,1,0,2021,,,,,,,,,,,
27,Josh Hazlewood,9,9,35,293,11,26.63,8.37,19.09,0,0,2021,,,,,,,,,,,
28,Mohammed Siraj,15,15,52,353,11,32.09,6.78,28.36,0,0,2021,,,,,,,,,,,
29,Andre Russell,10,8,19,188,11,17.09,9.89,10.36,0,1,2021,,,,,,,,,,,
30,Pat Cummins,7,7,27,237,9,26.33,8.83,17.88,0,0,2021,,,,,,,,,,,
31,Sam Curran,9,9,33,328,9,36.44,9.93,22,0,0,2021,,,,,,,,,,,
32,Kyle Jamieson,9,9,28,269,9,29.88,9.6,18.66,0,0,2021,,,,,,,,,,,
33,Rahul Tewatia,14,13,37,340,8,42.5,9.18,27.75,0,0,2021,,,,,,,,,,,
34,Siddarth Kaul,8,8,30,247,7,35.28,8.23,25.71,0,0,2021,,,,,,,,,,,
35,Nathan Coulter-Nile,5,5,20,127,7,18.14,6.35,17.14,1,0,2021,,,,,,,,,,,
36,Ravichandran Ashwin,13,13,44,331,7,47.28,7.41,38.28,0,0,2021,,,,,,,,,,,
37,Shahbaz Ahmed,11,6,14,92,7,13.14,6.57,12,0,0,2021,,,,,,,,,,,
38,Amit Mishra,4,4,14,109,6,18.16,7.78,14,1,0,2021,,,,,,,,,,,
39,Bhuvneshwar Kumar,11,11,42,335,6,55.83,7.97,42,0,0,2021,,,,,,,,,,,
40,Moeen Ali,15,10,25,161,6,26.83,6.35,25.33,0,0,2021,,,,,,,,,,,
41,Lungi Ngidi,3,3,12,125,5,25,10.41,14.4,0,0,2021,,,,,,,,,,,
42,Chris Woakes,3,3,11,82,5,16.4,7.45,13.2,0,0,2021,,,,,,,,,,,
43,Krunal Pandya,13,12,33,265,5,53,7.98,39.8,0,0,2021,,,,,,,,,,,
44,Jimmy Neesham,3,3,9,66,5,13.2,7.33,10.8,0,0,2021,,,,,,,,,,,
45,Harpreet Brar,7,7,23,139,5,27.8,6.04,27.6,0,0,2021,,,,,,,,,,,
46,Kieron Pollard,14,9,13,95,5,19,7.21,15.8,0,0,2021,,,,,,,,,,,
47,Khaleel Ahmed,7,7,27,219,5,43.8,8.11,32.4,0,0,2021,,,,,,,,,,,
48,Abhishek Sharma,8,6,10,64,4,16,6.4,15,0,0,2021,,,,,,,,,,,
49,Lalit Yadav,7,5,14,101,4,25.25,7.21,21,0,0,2021,,,,,,,,,,,
50,Jaydev Unadkat,6,6,22,168,4,42,7.63,33,0,0,2021,,,,,,,,,,,
51,Tom Curran,3,3,11,104,4,26,9.17,17,0,0,2021,,,,,,,,,,,
52,Chris Jordan,4,4,12,96,4,24,8,18,0,0,2021,,,,,,,,,,,
53,Kartik Tyagi,4,4,14,124,4,31,8.85,21,0,0,2021,,,,,,,,,,,
54,Moises Henriques,5,5,10,45,4,11.25,4.5,15,0,0,2021,,,,,,,,,,,
55,Dan Christian,9,9,16,155,4,38.75,9.3,25,0,0,2021,,,,,,,,,,,
56,Riley Meredith,5,5,17,169,4,42.25,9.94,25.5,0,0,2021,,,,,,,,,,,
57,Shakib Al Hasan,8,8,26,187,4,46.75,7.19,39,0,0,2021,,,,,,,,,,,
58,Washington Sundar,6,6,16,118,3,39.33,7.37,32,0,0,2021,,,,,,,,,,,
59,Venkatesh Iyer,10,4,8,69,3,23,8.11,17,0,0,2021,,,,,,,,,,,
60,Sandeep Sharma,7,7,23,203,3,67.66,8.63,47,0,0,2021,,,,,,,,,,,
61,Adam Milne,4,4,14,131,3,43.66,9.35,28,0,0,2021,,,,,,,,,,,
62,Tim Southee,3,3,12,95,3,31.66,7.91,24,0,0,2021,,,,,,,,,,,
63,Vijay Shankar,7,5,11,100,3,33.33,9.09,22,0,0,2021,,,,,,,,,,,
64,Jhye Richardson,3,3,11,117,3,39,10.63,22,0,0,2021,,,,,,,,,,,
65,Glenn Maxwell,15,6,16,135,3,45,8.43,32,0,0,2021,,,,,,,,,,,
66,George Garton,5,5,15,135,3,45,9,30,0,0,2021,,,,,,,,,,,
67,T Natarajan,2,2,8,69,2,34.5,8.62,24,0,0,2021,,,,,,,,,,,
68,Jayant Yadav,5,5,17,130,2,65,7.64,51,0,0,2021,,,,,,,,,,,
69,Imran Tahir,1,1,4,16,2,8,4,12,0,0,2021,,,,,,,,,,,
70,Umran Malik,3,3,12,96,2,48,8,36,0,0,2021,,,,,,,,,,,
71,Marco Jansen,2,2,6,45,2,22.5,7.5,18,0,0,2021,,,,,,,,,,,
72,Marcus Stoinis,10,8,11,117,2,58.5,10.47,33.5,0,0,2021,,,,,,,,,,,
73,Mohammad Nabi,3,3,8,86,2,43,10.75,24,0,0,2021,,,,,,,,,,,
74,Mujeeb Ur Rahman,1,1,4,29,2,14.5,7.25,12,0,0,2021,,,,,,,,,,,
75,Deepak Hooda,12,7,16,136,2,68,8.5,48,0,0,2021,,,,,,,,,,,
76,Fabian Allen,4,3,11,90,1,90,8.18,66,0,0,2021,,,,,,,,,,,
77,Glenn Phillips,3,2,2,20,1,20,10,12,0,0,2021,,,,,,,,,,,
78,Piyush Chawla,1,1,4,38,1,38,9.5,24,0,0,2021,,,,,,,,,,,
79,Ishan Porel,1,1,4,39,1,39,9.75,24,0,0,2021,,,,,,,,,,,
80,Daniel Sams,2,2,6,39,1,39,6.5,36,0,0,2021,,,,,,,,,,,
81,Ishant Sharma,3,3,12,97,1,97,8.08,72,0,0,2021,,,,,,,,,,,
82,Kane Richardson,1,1,3,29,1,29,9.66,18,0,0,2021,,,,,,,,,,,
83,KM Asif,1,1,2,18,1,18,8.3,13,0,0,2021,,,,,,,,,,,
84,Shahbaz Nadeem,1,1,4,36,1,36,9,24,0,0,2021,,,,,,,,,,,
85,Lukman Meriwala,1,1,3,32,1,32,10.66,18,0,0,2021,,,,,,,,,,,
86,Mahipal Lomror,4,4,7,47,1,47,6.71,42,0,0,2021,,,,,,,,,,,
87,Riyan Parag,11,6,6,73,1,73,11.83,37,0,0,2021,,,,,,,,,,,
88,Murugan Ashwin,3,3,11,97,1,97,8.81,66,0,0,2021,,,,,,,,,,,
89,Nathan Ellis,3,3,12,98,1,98,8.16,72,0,1,2021,,,,,,,,,,,
1,Yuzvendra Chahal,17,17,68,527,27,19.51,7.75,15.11,1,1,2022,,,,,,,,,,,
2,Wanindu Hasaranga,16,16,57,430,26,16.53,7.54,13.15,1,1,2022,,,,,,,,,,,
3,Kagiso Rabada,13,13,48,406,23,17.65,8.45,12.52,2,0,2022,,,,,,,,,,,
4,Umran Malik,14,14,49.1,444,22,20.18,9.03,13.4,1,1,2022,,,,,,,,,,,
5,Kuldeep Yadav,14,14,49.4,419,21,19.95,8.43,14.19,2,0,2022,,,,,,,,,,,
6,Mohammad Shami,16,16,61,488,20,24.4,8,18.3,0,0,2022,,,,,,,,,,,
7,Josh Hazlewood,12,12,46.3,377,20,18.85,8.1,13.95,1,0,2022,,,,,,,,,,,
8,Rashid Khan,16,16,63.5,421,19,22.15,6.59,20.15,1,0,2022,,,,,,,,,,,
9,Harshal Patel,15,15,53.3,410,19,21.57,7.66,16.89,1,0,2022,,,,,,,,,,,
10,Prasidh Krishna,17,17,66.3,551,19,29,8.28,21,0,0,2022,,,,,,,,,,,
11,Avesh Khan,13,13,47.4,416,18,23.11,8.72,15.88,1,0,2022,,,,,,,,,,,
12,T Natarajan,11,11,43,406,18,22.55,9.44,14.33,0,0,2022,,,,,,,,,,,
13,Andre Russell,14,13,28.1,278,17,16.35,9.86,9.94,1,0,2022,,,,,,,,,,,
14,Umesh Yadav,12,12,48,339,16,21.18,7.06,18,1,0,2022,,,,,,,,,,,
15,Trent Boult,16,16,62,492,16,30.75,7.93,23.25,0,0,2022,,,,,,,,,,,
16,Khaleel Ahmed,10,10,39.1,315,16,19.68,8.04,14.68,0,0,2022,,,,,,,,,,,
17,Dwayne Bravo,10,10,34.2,299,16,18.68,8.7,12.87,0,0,2022,,,,,,,,,,,
18,Mukesh Choudhary,13,13,45.3,424,16,26.5,9.31,17.06,1,0,2022,,,,,,,,,,,
19,Jasprit Bumrah,14,14,53.2,383,15,25.53,7.18,21.33,0,1,2022,,,,,,,,,,,
20,Shardul Thakur,14,14,48.2,473,15,31.53,9.78,19.33,1,0,2022,,,,,,,,,,,
21,Mohsin Khan,9,9,33,197,14,14.07,5.96,14.14,1,0,2022,,,,,,,,,,,
22,Rahul Chahar,13,13,46.4,360,14,25.71,7.71,20,0,0,2022,,,,,,,,,,,
23,Tim Southee,9,9,35,275,14,19.64,7.85,15,0,0,2022,,,,,,,,,,,
24,Jason Holder,12,12,41.3,391,14,27.92,9.42,17.78,0,0,2022,,,,,,,,,,,
25,Ravi Bishnoi,14,14,54,456,13,35.07,8.44,24.92,0,0,2022,,,,,,,,,,,
26,Daniel Sams,11,11,42,370,13,28.46,8.8,19.38,1,0,2022,,,,,,,,,,,
27,Bhuvneshwar Kumar,14,14,52.1,383,12,31.91,7.34,26.08,0,0,2022,,,,,,,,,,,
28,Maheesh Theekshana,9,9,35,261,12,21.75,7.45,17.5,1,0,2022,,,,,,,,,,,
29,Ravichandran Ashwin,17,17,67,503,12,41.91,7.5,33.5,0,0,2022,,,,,,,,,,,
30,Lockie Ferguson,13,13,47.4,427,12,35.58,8.95,23.83,1,0,2022,,,,,,,,,,,
31,Obed McCoy,7,7,25.5,237,11,21.54,9.17,14.09,0,0,2022,,,,,,,,,,,
32,Yash Dayal,9,9,32,296,11,26.9,9.25,17.45,0,0,2022,,,,,,,,,,,
33,Krunal Pandya,14,12,38,265,10,26.5,6.97,22.8,0,0,2022,,,,,,,,,,,
34,Arshdeep Singh,14,14,50,385,10,38.5,7.7,30,0,0,2022,,,,,,,,,,,
35,Sunil Narine,14,14,56,312,9,34.66,5.57,37.33,0,0,2022,,,,,,,,,,,
36,Murugan Ashwin,8,8,29,228,9,25.33,7.86,19.33,0,0,2022,,,,,,,,,,,
37,Dushmantha Chameera,12,12,44,384,9,42.66,8.72,29.33,0,0,2022,,,,,,,,,,,
38,Anrich Nortje,6,6,22.2,217,9,24.11,9.71,14.88,0,0,2022,,,,,,,,,,,
39,Mohammed Siraj,15,15,51,514,9,57.11,10.07,34,0,0,2022,,,,,,,,,,,
40,Moeen Ali,10,10,23.5,158,8,19.75,6.62,17.87,0,0,2022,,,,,,,,,,,
41,Hardik Pandya,15,10,30.3,222,8,27.75,7.27,22.87,0,0,2022,,,,,,,,,,,
